name,latitude,longitude,greek
m_agios_stefanos,35.07,25.971,Μ_ΑΓΙΟΣ_ΣΤΕΦΑΝΟΣ
m_anogeia,35.265,24.901,M_ΑΝΩΓΕΙΑ
m_doxaro,35.346,24.839,M_ΔΟΞΑΡΟ
m_meteo_tympaki_a3,35.084,24.784,M_ΜΕΤΕΟ_ΤΥΜΠΑΚΙ_A3
m_potamies,35.252,25.401,M_ΠΟΤΑΜΙΕΣ
m_pyrgos,35.006,25.153,Μ_ΠΥΡΓΟΣ
m_rousochoria,35.158,25.297,M_ΡΟΥΣΟΧΩΡΙΑ
m_tavronitis,35.444,23.79,M_ΤΑΥΡΩΝΙΤΗΣ
m_vasilika_anogeia,35.008,24.968,Μ_ΒΑΣΙΛΙΚΑ_ΑΝΩΓΕΙΑ
m_viannos,35.053,25.408,M_ΒΙΑΝΝΟΣ
m_ziros,35.075,26.139,M_ΖΗΡΟΣ
