Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
16/11/2015,00:00:00,1171.3,18.4,32.68,19.32
17/11/2015,00:00:00,*,*,*,*
18/11/2015,00:00:00,*,*,*,*
19/11/2015,00:00:00,*,*,*,*
20/11/2015,00:00:00,*,*,*,*
21/11/2015,00:00:00,*,*,*,*
22/11/2015,00:00:00,*,*,*,*
23/11/2015,00:00:00,1183.6,18.4,32.65,19.35
24/11/2015,00:00:00,1188.5,18.4,32.62,19.38
25/11/2015,00:00:00,*,*,*,*
26/11/2015,00:00:00,1185.1,18.4,32.63,19.37
27/11/2015,00:00:00,*,*,*,*
28/11/2015,00:00:00,*,*,*,*
29/11/2015,00:00:00,*,*,*,*
30/11/2015,00:00:00,*,*,*,*
01/12/2015,00:00:00,*,*,*,*
02/12/2015,00:00:00,*,*,*,*
03/12/2015,00:00:00,*,*,*,*
04/12/2015,00:00:00,*,*,*,*
05/12/2015,00:00:00,*,*,*,*
06/12/2015,00:00:00,1196.9,18.5,32.56,19.44
07/12/2015,00:00:00,1195.3,18.5,32.55,19.45
08/12/2015,00:00:00,*,*,*,*
09/12/2015,00:00:00,1193,18.5,32.56,19.44
10/12/2015,00:00:00,*,*,*,*
11/12/2015,00:00:00,*,*,*,*
12/12/2015,00:00:00,*,*,*,*
13/12/2015,00:00:00,1191.5,18.5,32.58,19.42
14/12/2015,00:00:00,*,*,*,*
15/12/2015,00:00:00,1192.2,18.5,32.58,19.42
16/12/2015,00:00:00,*,*,*,*
17/12/2015,00:00:00,*,*,*,*
18/12/2015,00:00:00,1189.7,18.5,32.59,19.41
19/12/2015,00:00:00,1190.4,18.5,32.58,19.42
20/12/2015,00:00:00,*,*,*,*
21/12/2015,00:00:00,*,*,*,*
22/12/2015,00:00:00,*,*,*,*
23/12/2015,00:00:00,1189.9,18.5,32.57,19.43
24/12/2015,00:00:00,*,*,*,*
25/12/2015,00:00:00,*,*,*,*
26/12/2015,00:00:00,*,*,*,*
27/12/2015,00:00:00,*,*,*,*
28/12/2015,00:00:00,1190.7,18.5,32.58,19.42
29/12/2015,00:00:00,*,*,*,*
30/12/2015,00:00:00,*,*,*,*
31/12/2015,00:00:00,*,*,*,*
01/01/2016,00:00:00,*,*,*,*
02/01/2016,00:00:00,*,*,*,*
03/01/2016,00:00:00,1190.3,18.5,32.59,19.41
04/01/2016,00:00:00,*,*,*,*
05/01/2016,00:00:00,1196.2,18.5,32.62,19.38
06/01/2016,00:00:00,*,*,*,*
07/01/2016,00:00:00,*,*,*,*
08/01/2016,00:00:00,*,*,*,*
09/01/2016,00:00:00,*,*,*,*
10/01/2016,00:00:00,*,*,*,*
11/01/2016,00:00:00,*,*,*,*
12/01/2016,00:00:00,*,*,*,*
13/01/2016,00:00:00,*,*,*,*
14/01/2016,00:00:00,*,*,*,*
15/01/2016,00:00:00,*,*,*,*
16/01/2016,00:00:00,*,*,*,*
17/01/2016,00:00:00,*,*,*,*
18/01/2016,00:00:00,1200.7,18.5,32.65,19.35
19/01/2016,00:00:00,1226.2,18.5,32.64,19.36
20/01/2016,00:00:00,1213.2,18.5,32.61,19.39
21/01/2016,00:00:00,*,*,*,*
22/01/2016,00:00:00,*,*,*,*
23/01/2016,00:00:00,*,*,*,*
24/01/2016,00:00:00,1252.1,18.6,32.55,19.45
25/01/2016,00:00:00,1241.5,18.5,32.55,19.45
26/01/2016,00:00:00,*,*,*,*
27/01/2016,00:00:00,*,*,*,*
28/01/2016,00:00:00,*,*,*,*
29/01/2016,00:00:00,1221.1,18.5,32.53,19.47
30/01/2016,00:00:00,*,*,*,*
31/01/2016,00:00:00,1215.4,18.5,32.53,19.47
01/02/2016,00:00:00,*,*,*,*
02/02/2016,00:00:00,*,*,*,*
03/02/2016,00:00:00,1208.4,18.5,32.53,19.47
04/02/2016,00:00:00,*,*,*,*
05/02/2016,00:00:00,1203.4,18.5,32.55,19.45
06/02/2016,00:00:00,*,*,*,*
07/02/2016,00:00:00,*,*,*,*
08/02/2016,00:00:00,1231.5,18.5,32.53,19.47
09/02/2016,00:00:00,1216.3,18.5,32.53,19.47
10/02/2016,00:00:00,*,*,*,*
11/02/2016,00:00:00,*,*,*,*
12/02/2016,00:00:00,*,*,*,*
13/02/2016,00:00:00,*,*,*,*
14/02/2016,00:00:00,*,*,*,*
15/02/2016,00:00:00,*,*,*,*
16/02/2016,00:00:00,*,*,*,*
17/02/2016,00:00:00,*,*,*,*
18/02/2016,00:00:00,*,*,*,*
19/02/2016,00:00:00,*,*,*,*
20/02/2016,00:00:00,*,*,*,*
21/02/2016,00:00:00,*,*,*,*
22/02/2016,00:00:00,1193.3,18.4,32.58,19.42
23/02/2016,00:00:00,*,*,*,*
24/02/2016,00:00:00,*,*,*,*
25/02/2016,00:00:00,*,*,*,*
26/02/2016,00:00:00,*,*,*,*
27/02/2016,00:00:00,*,*,*,*
28/02/2016,00:00:00,*,*,*,*
29/02/2016,00:00:00,*,*,*,*
01/03/2016,00:00:00,*,*,*,*
02/03/2016,00:00:00,*,*,*,*
03/03/2016,00:00:00,*,*,*,*
04/03/2016,00:00:00,*,*,*,*
05/03/2016,00:00:00,*,*,*,*
06/03/2016,00:00:00,*,*,*,*
07/03/2016,00:00:00,1185.1,18.3,32.6,19.4
08/03/2016,00:00:00,*,*,*,*
09/03/2016,00:00:00,*,*,*,*
10/03/2016,00:00:00,*,*,*,*
11/03/2016,00:00:00,1183.2,18.3,32.64,19.36
12/03/2016,00:00:00,*,*,*,*
13/03/2016,00:00:00,*,*,*,*
14/03/2016,00:00:00,*,*,*,*
15/03/2016,00:00:00,*,*,*,*
16/03/2016,00:00:00,*,*,*,*
17/03/2016,00:00:00,*,*,*,*
18/03/2016,00:00:00,1188.5,18.2,32.57,19.43
19/03/2016,00:00:00,*,*,*,*
20/03/2016,00:00:00,*,*,*,*
21/03/2016,00:00:00,*,*,*,*
22/03/2016,00:00:00,*,*,*,*
23/03/2016,00:00:00,*,*,*,*
24/03/2016,00:00:00,*,*,*,*
25/03/2016,00:00:00,*,*,*,*
26/03/2016,00:00:00,*,*,*,*
27/03/2016,00:00:00,1161,18.2,*,21.12
28/03/2016,00:00:00,1166,18.2,7.46,21.44
29/03/2016,00:00:00,*,*,*,*
30/03/2016,00:00:00,*,*,*,*
31/03/2016,00:00:00,*,*,*,*
01/04/2016,00:00:00,*,*,*,*
02/04/2016,00:00:00,*,*,*,*
03/04/2016,00:00:00,*,*,*,*
04/04/2016,00:00:00,*,*,*,*
05/04/2016,00:00:00,*,*,*,*
06/04/2016,00:00:00,1224,18.1,7.68,21.22
07/04/2016,00:00:00,1210.3,18.1,7.72,21.18
08/04/2016,00:00:00,1208.3,18.1,8.2,20.7
09/04/2016,00:00:00,1230,18.1,8.09,20.81
10/04/2016,00:00:00,*,*,*,*
11/04/2016,00:00:00,*,*,*,*
12/04/2016,00:00:00,*,*,*,*
13/04/2016,00:00:00,*,*,*,*
14/04/2016,00:00:00,*,*,*,*
15/04/2016,00:00:00,1256.9,18,8.61,20.29
16/04/2016,00:00:00,1211.2,18,9.26,19.64
17/04/2016,00:00:00,1268.3,18,8.79,20.11
18/04/2016,00:00:00,1265,18,8.49,20.41
19/04/2016,00:00:00,1165.4,18,9.51,19.39
20/04/2016,00:00:00,1259.2,18,8.9,20
21/04/2016,00:00:00,1247.3,18,8.46,20.44
22/04/2016,00:00:00,*,*,*,*
23/04/2016,00:00:00,*,*,*,*
24/04/2016,00:00:00,1236.9,18,9.52,19.38
25/04/2016,00:00:00,1251.2,18,9.01,19.89
26/04/2016,00:00:00,1242.8,18,8.62,20.28
27/04/2016,00:00:00,*,*,*,*
28/04/2016,00:00:00,1255.5,18,*,20.1
29/04/2016,00:00:00,1227.9,18,9.18,19.72
30/04/2016,00:00:00,1243.3,18,9.04,19.86
01/05/2016,00:00:00,1243.8,18,*,20.1
02/05/2016,00:00:00,1241.3,17.9,8.61,20.29
03/05/2016,00:00:00,1217.6,17.9,8.45,20.45
04/05/2016,00:00:00,*,*,*,*
05/05/2016,00:00:00,*,*,*,*
06/05/2016,00:00:00,*,*,*,*
07/05/2016,00:00:00,*,*,*,*
08/05/2016,00:00:00,*,*,*,*
09/05/2016,00:00:00,*,*,*,*
10/05/2016,00:00:00,*,*,*,*
11/05/2016,00:00:00,*,*,*,*
12/05/2016,00:00:00,1194.6,17.9,8.51,20.39
13/05/2016,00:00:00,1205,17.9,8.52,20.38
14/05/2016,00:00:00,1222.7,17.9,8.65,20.25
15/05/2016,00:00:00,1238.1,17.9,8.65,20.25
16/05/2016,00:00:00,1204.2,17.9,8.44,20.46
17/05/2016,00:00:00,1191.3,17.9,8.45,20.45
18/05/2016,00:00:00,1191.4,17.9,9.18,19.72
19/05/2016,00:00:00,1197.3,17.9,9.61,19.29
20/05/2016,00:00:00,1222.2,17.9,9.33,19.57
21/05/2016,00:00:00,1213.5,17.9,9.73,19.17
22/05/2016,00:00:00,1244.1,17.9,9.46,19.44
23/05/2016,00:00:00,1236.8,17.9,9.27,19.63
24/05/2016,00:00:00,*,*,*,*
25/05/2016,00:00:00,1218.3,17.8,9.85,19.05
26/05/2016,00:00:00,1232,17.9,*,18.89
27/05/2016,00:00:00,1194.4,17.9,10.37,18.53
28/05/2016,00:00:00,1073.8,17.9,11.74,17.16
29/05/2016,00:00:00,879.8,17.9,14.53,14.37
30/05/2016,00:00:00,1150.2,17.9,12.22,16.68
31/05/2016,00:00:00,1112.2,17.9,12.81,16.09
01/06/2016,00:00:00,1079.5,17.9,13.04,15.86
02/06/2016,00:00:00,989.1,17.9,14.18,14.72
03/06/2016,00:00:00,1012.9,17.9,14.16,14.74
04/06/2016,00:00:00,959.9,17.9,14.47,14.43
05/06/2016,00:00:00,1025.5,17.9,14.32,14.58
06/06/2016,00:00:00,1041.3,17.9,13.74,15.16
07/06/2016,00:00:00,1061.3,17.9,13.02,15.88
08/06/2016,00:00:00,986.7,17.9,14.09,14.82
09/06/2016,00:00:00,1063.7,17.9,13.22,15.68
10/06/2016,00:00:00,1092.4,17.9,*,16.68
11/06/2016,00:00:00,1079.4,17.9,12.28,16.62
12/06/2016,00:00:00,985.7,18,14.22,14.68
13/06/2016,00:00:00,1041.1,17.9,13.61,15.29
14/06/2016,00:00:00,1000.2,18,14.24,14.66
15/06/2016,00:00:00,1018,18,13.99,14.91
16/06/2016,00:00:00,989,18,14.34,14.56
